source_string,target_string,license,latin,arabic
Edits value.,ⵉⵙⴳⴳⴷⵏ ⵏ ⵡⴰⵜⵉⴳ.,MPL-2.0,isggdn n watig.,يسڭڭدن ن واتيڭ.
Your message,ⵜⴰⴱⵔⴰⵜ ⵏⵏⴽ,MPL-2.0,tabrat nnk,تابرات ننك
Timer,ⴰⵎⵙⵉⴹⵏ,GPL-3.0-or-later,amsiḍn,امسيضن
Translation memory entry removed.,ⵉⵜⵜⵡⴰⴽⴽⵙ ⵓⵙⵉⴷⴼ ⵏ ⵜⵎⴽⵜⵉⵜ ⵏ ⵓⵙⵓⵖⵍ.,GPL-3.0-or-later,ittwakks usidf n tmktit n usughl.,يتتواككس وسيدف ن تمكتيت ن وسوغل.
The request for machine translation has failed:,ⵉⵏⵏⴳⵣⴰ ⵓⵙⵓⵜⵔ ⵏ ⵓⵙⵓⵖⵍ ⴰⵡⵓⵔⵎⴰⵏ:,GPL-3.0-or-later,inngza usutr n usughl awurman:,يننڭزا وسوتر ن وسوغل اوورمان:
The request for machine translation using %s has failed:,ⵉⵏⵏⴳⵣⴰ ⵓⵙⵓⵜⵔ ⵏ ⵓⵙⵓⵖⵍ ⴰⵡⵓⵔⵎⴰⵏ ⵙ ⵓⵙⵎⵔⵙ ⵏ %s:,GPL-3.0-or-later,inngza usutr n usughl awurman s usmrs n %s:,يننڭزا وسوتر ن وسوغل اوورمان س وسمرس ن %s:
Cmd+M then %s,Cmd+M ⵉⵎⵉⵍ %s,GPL-3.0-or-later,Cmd+M imil %s,Cmd+M يميل %s
Ctrl+M then %s,Ctrl+M ⵉⵎⵉⵍ %s,GPL-3.0-or-later,Ctrl+M imil %s,Ctrl+M يميل %s
Press Cmd+I then %s to dismiss this.,ⴰⴷⵔ ⴳ Cmd+I ⴷ %s ⵃⵎⴰ ⴰⴷ ⵉⵜⵜⵡⴰⴽⴽⵙ.,GPL-3.0-or-later,adr g Cmd+I d %s ḥma ad ittwakks.,ادر ڭ Cmd+I د %s حما اد يتتواككس.
Press Ctrl+I then %s to dismiss this.,ⴰⴷⵔ ⴳ Ctrl+I ⴷ %s ⵃⵎⴰ ⴰⴷ ⵉⵜⵜⵡⴰⴽⴽⵙ.,GPL-3.0-or-later,adr g Ctrl+I d %s ḥma ad ittwakks.,ادر ڭ Ctrl+I د %s حما اد يتتواككس.
Clone to translation,ⵙⵍⵖ ⴳ ⵓⵙⵓⵖⵍ,GPL-3.0-or-later,slgh g usughl,سلغ ڭ وسوغل
Accept,ⵉⵔⵉ,GPL-3.0-or-later,iri,يري
Delete entry,ⴽⴽⵙ ⵜⵓⴷⵉⴼⵉⵏ,GPL-3.0-or-later,kks tudifin,ككس توديفين
Text copied to clipboard.,ⵉⵜⵜⵓⵙⵙⵏⵖⵍ ⵓⴹⵕⵉⵚ ⵖⵔ ⵜⵣⵣⵏⴱⵉⵍⵜ.,GPL-3.0-or-later,ittussnghl uḍṛiṣ ghr tzznbilt.,يتتوسسنغل وضريص غر تززنبيلت.
Please press Ctrl+C to copy.,ⴰⴷⵔ ⴳ Ctrl+C ⵃⵎⴰ ⴰⴷ ⵉⵜⵜⵓⵙⵙⵏⵖ.,GPL-3.0-or-later,adr g Ctrl+C ḥma ad ittussngh.,ادر ڭ Ctrl+C حما اد يتتوسسنغ.
Search…,ⵔⵣⵓ…,GPL-3.0-or-later,rzu…,رزو…
Subject,ⵉⵎⵔⵙⵉ,GPL-3.0-or-later,imrsi,يمرسي
Your name,ⵉⵙⵎ ⵏⵏⴽ,GPL-3.0-or-later,ism nnk,يسم ننك
Your e-mail,ⵉⵎⴰⵢⵍ ⵏⵏⴽ,GPL-3.0-or-later,imayl nnk,يمايل ننك
Message,ⵜⴰⴱⵔⴰⵜ,GPL-3.0-or-later,tabrat,تابرات
"Please contact us in English, otherwise we might be unable to process your request.","ⵎⵢⴰⵡⴰⴹ ⴰⴽⵉⴷⵏⵖ ⵙ ⵜⵏⴳⵍⵉⵣⵉⵜ, ⴰⴼⴰⴷ ⴰⴷ ⵏⵣⵣⵔⵉ ⴰⵙⵓⵜⵔ ⵏⵏⵓⵏ.",GPL-3.0-or-later,"myawaḍ akidngh s tnglizit, afad ad nzzri asutr nnun.","مياواض اكيدنغ س تنڭليزيت, افاد اد نززري اسوتر ننون."
Colour Scheme,ⵜⴰⵡⵏⴰⵖⵜ ⵏ ⵉⴽⵯⵍⴰⵏ,GPL-3.0-or-later,tawnaght n ikⵯlan,تاوناغت ن يكⵯلان
Size,ⴰⴷⴷⵓⴷ,GPL-3.0-or-later,addud,اددود
Speed,ⵜⴰⵣⵣⵍⴰ,GPL-3.0-or-later,tazzla,تاززلا
Shape,ⴰⵎⴰⵖⵏⵓ,GPL-3.0-or-later,amaghnu,اماغنو
Mute,ⴰⵏⵙⵙⴰⵙⵎ,GPL-3.0-or-later,anssasm,انسساسم
About,ⵅⴼ ⵜⵙⵏⵙⵉ,GPL-3.0-or-later,khf tsnsi,خف تسنسي
"<a href=""https://freemusicarchive.org/music/John_Harrison_with_the_Wichita_State_University_Chamber_Players/The_Four_Seasons_Vivaldi/01_-_Vivaldi_Spring_mvt_1_Allegro_-_John_Harrison_violin"">Vivaldi - The Four Seasons - Spring, Movement 1 - By John Harrison w/ Wichita State University Chamber</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Gymnopedie_No_1"">Erik Satie - Gymnopedie No 1 - By Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Canon_in_D_Major"">J. Pachelbel - Canon in D Major - By Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>)","<a href=""https://freemusicarchive.org/music/John_Harrison_with_the_Wichita_State_University_Chamber_Players/The_Four_Seasons_Vivaldi/01_-_Vivaldi_Spring_mvt_1_Allegro_-_John_Harrison_violin"">Vivaldi - ⴽⴽⵓⵥ ⵉⵎⵉⵔⵏ - ⵜⴰⴼⵙⵓⵜ, ⴰⵎⵓⵙⵙⵓ 1 - ⵡⵉⵏ John Harrison w/ Wichita ⴰⵃⴰⵏⵓ ⵏ ⵜⵙⴷⴰⵡⵉⵜ ⵏ ⵜⴳⵔⴰⵡⵜ</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Gymnopedie_No_1"">Erik Satie - Gymnopedie ⵓⵟⵟⵓⵏ 1 - ⵡⵉⵏ Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Canon_in_D_Major"">J. Pachelbel - Canon in D Major - By Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>)",GPL-3.0-or-later,"<a href=""https://freemusicarchive.org/music/John_Harrison_with_the_Wichita_State_University_Chamber_Players/The_Four_Seasons_Vivaldi/01_-_Vivaldi_Spring_mvt_1_Allegro_-_John_Harrison_violin"">Vivaldi - kkuẓ imirn - tafsut, amussu 1 - win John Harrison w/ Wichita aḥanu n tsdawit n tgrawt</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Gymnopedie_No_1"">Erik Satie - Gymnopedie uṭṭun 1 - win Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Canon_in_D_Major"">J. Pachelbel - Canon in D Major - By Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>)","<a href=""https://freemusicarchive.org/music/John_Harrison_with_the_Wichita_State_University_Chamber_Players/The_Four_Seasons_Vivaldi/01_-_Vivaldi_Spring_mvt_1_Allegro_-_John_Harrison_violin"">Vivaldi - ككوزّ يميرن - تافسوت, اموسسو 1 - وين John Harrison w/ Wichita احانو ن تسداويت ن تڭراوت</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Gymnopedie_No_1"">Erik Satie - Gymnopedie وططون 1 - وين Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>) <a href=""https://freemusicarchive.org/music/Kevin_MacLeod/Classical_Sampler/Canon_in_D_Major"">J. Pachelbel - Canon in D Major - By Kevin MacLeod</a> (<a href=""https://creativecommons.org/licenses/by/3.0/"">CC-BY</a>)"
Suggestions and bug reports,ⵜⵉⵙⵓⵎⴰⵔ ⴷ ⵜⴰⵏⴰⴹⵉⵏ ⵏ ⵜⵣⴳⵍⵉⵏ,GPL-3.0-or-later,tisumar d tanaḍin n tzglin,تيسومار د تاناضين ن تزڭلين
Credits,ⵜⵉⵙⵖⵣⴰⵏ,GPL-3.0-or-later,tisghzan,تيسغزان
Sleep Timer,ⴰⵎⵙⴼⴰⴼⴰ,GPL-3.0-or-later,amsfafa,امسفافا
Sleep time,ⴰⴽⵓⴷ ⵏ ⵢⵉⴹⵚ,GPL-3.0-or-later,akud n yiḍṣ,اكود ن ييضص
Resume dots,ⴳⵔ ⴷⴰⵖ ⵜⵉⵏⵇⵇⴰⴹ,GPL-3.0-or-later,gr dagh tinqqaḍ,ڭر داغ تينققاض
Back,ⵓⵖⵓⵍ,GPL-3.0-or-later,ughul,وغول
"Resume dots, remove the sleep timer, and exit sleep time.","ⴳⵔ ⴷⴰⵖ ⵜⵉⵏⵇⵇⴰⴹ, ⵜⴽⴽⵙⴷ ⴰⵎⵙⴼⴰⴼⴰ ⵜⴼⴼⵖⴷ ⵙⴳ ⵡⴰⴽⵓⴷ ⵏ ⵢⵉⴹⵚ.",GPL-3.0-or-later,"gr dagh tinqqaḍ, tkksd amsfafa tffghd sg wakud n yiḍṣ.","ڭر داغ تينققاض, تككسد امسفافا تففغد سڭ واكود ن ييضص."
"When the timer reaches zero, the music pauses, the screen dims and turns off.","ⴰⴷⴷⴰⵢ ⵢⴰⵡⴹ ⵓⵎⵙⴼⴰⴼⴰ ⵖⵔ ⵓⵎⵢⴰ, ⵔⴰⴷ ⵉⵙⵍⵍⴷ ⵓⵎⵉⵥⴰⵕ ⴷⴰⵓ ⵉⴱⴷⴷ ⵉⵎⵉⴽ ⵓⵥⴰⵡⴰⵏ ⴷ ⴰⴷ ⵉⵅⵙⵉ ⵓⵎⵉⵥⴰⵕ ⵛⵡⵉ ⴷⴼⴼⵉⵔ ⴰⵙ.",GPL-3.0-or-later,"adday yawḍ umsfafa ghr umya, rad islld umiẓaṛ dau ibdd imik uẓawan d ad ikhsi umiẓaṛ shwi dffir as.","ادداي ياوض ومسفافا غر وميا, راد يسللد وميزّار داو يبدد يميك وزّاوان د اد يخسي وميزّار شوي دففير اس."
Settings,ⵜⵉⵙⵖⴰⵍ,GPL-3.0-or-later,tisghal,تيسغال
'%d minute','%d ⵏ ⵜⵓⵙⴷⵉⴷⵜ',GPL-3.0-or-later,'%d n tusdidt','%d ن توسديدت'
Stop timer,ⵙⴱⴷⴷ,GPL-3.0-or-later,sbdd,سبدد
Touch the sleep timer for more info.,ⵙⵙⵉⵖ ⴰⵎⵙⴼⴰⴼⴰ ⵉ ⵓⴳⴳⴰⵔ ⵏ ⵡⵓⵎⵍⴰⵏ.,GPL-3.0-or-later,ssigh amsfafa i uggar n wumlan.,سسيغ امسفافا ي وڭڭار ن ووملان.
"The Four Seasons — Spring, Movement 1","ⴽⴽⵓⵥ ⵉⵎⵉⵔⵏ - ⵜⴰⴼⵙⵓⵜ, ⴰⵎⵓⵙⵙⵓ 1",GPL-3.0-or-later,"kkuẓ imirn - tafsut, amussu 1","ككوزّ يميرن - تافسوت, اموسسو 1"
Canon in D major,ⴽⴰⵏⵓⵏ ⴳ ⵜⴰⵎⵎⴰⵙⵜ,GPL-3.0-or-later,kanun g tammast,كانون ڭ تامماست
Gymnopédie No. 1,Gymnopedie ⵓⵟⵟⵓⵏ 1,GPL-3.0-or-later,Gymnopedie uṭṭun 1,Gymnopedie وططون 1
Loading data…,ⴰⴽⵜⵓⵔ ⵏ ⵜⵎⵓⵛⴰ…,GPL-3.0-or-later,aktur n tmusha…,اكتور ن تموشا…
Done!,ⵉⵙⵎⴷ!,GPL-3.0-or-later,ismd!,يسمد!
Loading data failed. Trying again in {count} seconds…,ⵉⴳⵓⵍⴼ ⵓⴽⵜⵓⵔ ⵏ ⵜⵎⵓⵛⴰ. ⴰⵍⵙ ⵉⵔⵉⵎ ⴷⴰⵖ ⴳ {count} ⵏ ⵜⵙⵉⵏⵜ…,GPL-3.0-or-later,igulf uktur n tmusha. als irim dagh g {count} n tsint…,يڭولف وكتور ن تموشا. الس يريم داغ ڭ {count} ن تسينت…
Zoom in to view or edit the data,ⵙⵙⵖⵔ ⴰⴷ ⵜⵥⵕⴷ ⵏⵉⵖ ⴰⴷ ⵜⴰⵔⵉⴷ ⵜⵉⵎⵓⵛⴰ,GPL-3.0-or-later,ssghr ad tẓṛd nigh ad tarid timusha,سسغر اد تزّرد نيغ اد تاريد تيموشا
Cancel,ⵙⵙⵔ,GPL-3.0-or-later,ssr,سسر
This feature can not be deleted,ⵓⵔ ⵉⵣⵔⵉ ⴰⴷ ⵜⴻⵜⵜⵡⴰⴽⴽⵙ ⵜⵎⵥⵍⵉⵜ ⴰⴷ,GPL-3.0-or-later,ur izri ad tettwakks tmẓlit ad,ور يزري اد ت°تتواككس تمزّليت اد
Delete,ⴽⴽⵙ,GPL-3.0-or-later,kks,ككس
Screen unlocked,ⵉⵇⵇⵏ ⵓⵎⵉⵥⴰⵕ,GPL-3.0-or-later,iqqn umiẓaṛ,يققن وميزّار
Lock,ⵔⴳⵍ,GPL-3.0-or-later,rgl,رڭل
Touch to unlock,ⵙⵙⵉⵖ ⵜ ⴰⴷ ⵉⵔⴳⵍ,GPL-3.0-or-later,ssigh t ad irgl,سسيغ ت اد يرڭل
Quickly touch the lock %d more time to unlock.,ⴰⴷⵔ ⴷⵖⵢⴰ ⵅⴼ ⵜⵉⴽⴼⵔⵜ %d ⵓⴳⴳⴰⵔ ⵏ ⵡⴰⴽⵓⴷ ⵉ ⵜⵓⴽⴽⵙⴰ ⵏ ⵜⵉⴷⴼⵔⵜ.,GPL-3.0-or-later,adr dghya khf tikfrt %d uggar n wakud i tukksa n tidfrt.,ادر دغيا خف تيكفرت %d وڭڭار ن واكود ي توككسا ن تيدفرت.
Flashlight,ⴰⵙⵉⴷⴷ,GPL-3.0-or-later,asidd,اسيدد
Red Moon,ⵜⴰⵣⵉⵔⵉ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ,GPL-3.0-or-later,taziri tazggⵯaght,تازيري تازڭڭⵯاغت
Red Moon Toggle,ⵙⵙⵔⴼⵓ ⵜⴰⵣⵉⵔⵉ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ,GPL-3.0-or-later,ssrfu taziri tazggⵯaght,سسرفو تازيري تازڭڭⵯاغت
Intro,ⵜⴰⵣⵡⵓⵔⵜ,GPL-3.0-or-later,tazwurt,تازوورت
About Red Moon,ⵅⴼ ⵜⵣⵉⵔⵉ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ,GPL-3.0-or-later,khf tziri tazggⵯaght,خف تزيري تازڭڭⵯاغت
Pause in excluded apps,ⵙⴱⴷⴷ ⴳ ⵜⵙⵏⵙⵉⵡⵉⵏ ⵢⴰⴹⵏⵉⵏ,GPL-3.0-or-later,sbdd g tsnsiwin yaḍnin,سبدد ڭ تسنسيوين ياضنين
Schedule,ⴰⵖⴰⵡⴰⵙ,GPL-3.0-or-later,aghawas,اغاواس
Restore default filters,ⵔⴰⵔ ⵜⵉⵙⵜⴰⵢⵉⵏ ⴳ ⵓⵙⵓⵔⵙ ⵏ ⵓⵙⵎⵙⴰⵙⴰ,GPL-3.0-or-later,rar tistayin g usurs n usmsasa,رار تيستايين ڭ وسورس ن وسمساسا
Replay intro,ⴰⵍⵙ ⵜⴰⵣⵡⵓⵔⵜ,GPL-3.0-or-later,als tazwurt,الس تازوورت
About,ⵅⴼ,GPL-3.0-or-later,khf,خف
Running. Turn off to install apks,ⵉⵜⵜⵡⴰⵣⵣⴳⵔ. ⵙⴱⴷⴷ ⵜ ⵃⵎⴰ ⴰⴷ ⴽⵛⵎⵏⵜ ⵜⵙⵏⵙⵉⵡⵉⵏ,GPL-3.0-or-later,ittwazzgr. sbdd t ḥma ad kshmnt tsnsiwin,يتتواززڭر. سبدد ت حما اد كشمنت تسنسيوين
Running,ⵉⵜⵜⵓⵣⵣⴳⵔ,GPL-3.0-or-later,ittuzzgr,يتتوززڭر
Paused,ⵉⵜⵜⵓⵙⴱⴷⴷ,GPL-3.0-or-later,ittusbdd,يتتوسبدد
Paused. Dismiss notification to stop.,"ⵉⵜⵜⵓⵙⴱⴷⴷ, ⴰⴳⵉ ⵉⵙⵓⴼⵔⵉⵜⵏ ⵃⵎⴰ ⴰⴷ ⵉⴱⴷⴷ.",GPL-3.0-or-later,"ittusbdd, agi isufritn ḥma ad ibdd.","يتتوسبدد, اڭي يسوفريتن حما اد يبدد."
Off,ⵇⵇⵏ,GPL-3.0-or-later,qqn,ققن
Resume,ⴰⵍⵙ,GPL-3.0-or-later,als,الس
Pause,ⵙⴱⴷⴷ,GPL-3.0-or-later,sbdd,سبدد
Turn on,ⵙⵙⵉⵖ,GPL-3.0-or-later,ssigh,سسيغ
Turn off,ⵙⵙⵅⵙⵉ,GPL-3.0-or-later,sskhsi,سسخسي
Stop,ⵙⴱⴷⴷ,GPL-3.0-or-later,sbdd,سبدد
Exclude app,ⵔⵎⵣ ⵜⵉⵙⵏⵙⵉ,GPL-3.0-or-later,rmz tisnsi,رمز تيسنسي
Filter app,ⵙⵜⵉ ⵜⵉⵙⵏⵙⵉ,GPL-3.0-or-later,sti tisnsi,ستي تيسنسي
Next filter,ⴰⵙⵜⴰⵢ ⵢⴰⴹⵏ,GPL-3.0-or-later,astay yaḍn,استاي ياضن
Red Moon: Root unavailable. Disabling root mode.,ⵜⴰⵣⵉⵔⵉ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ: ⵓⵔ ⵉⵍⵍⵉ ⵓⴳⵔⵎⵣⴷⴰⵢ. ⵙⵏⵏⴳⵣⵓ ⴰⵙⵓⵔⵙ ⵏ ⵓⴳⵔⵎⵣⴷⴰⵢ.,GPL-3.0-or-later,taziri tazggⵯaght: ur illi ugrmzday. snngzu asurs n ugrmzday.,تازيري تازڭڭⵯاغت: ور يللي وڭرمزداي. سننڭزو اسورس ن وڭرمزداي.
Filter,ⵜⴰⵙⵜⴰⵢⵜ,GPL-3.0-or-later,tastayt,تاستايت
Other,ⵢⴰⴹⵏ,GPL-3.0-or-later,yaḍn,ياضن
No effect on some devices,ⵓⵔ ⵉⵍⵍⵉ ⵢⵉⴹⵉⵚ ⵅⴼ ⴽⵔⴰ ⵏ ⵡⴰⵍⵍⴰⵍⵏ,GPL-3.0-or-later,ur illi yiḍiṣ khf kra n wallaln,ور يللي ييضيص خف كرا ن واللالن
Darkness,ⵜⵉⵍⵍⴰⵙ,GPL-3.0-or-later,tillas,تيللاس
Opacity,ⴰⴳⴳⴰⴹ,GPL-3.0-or-later,aggaḍ,اڭڭاض
Color,ⴰⴽⵍⵓ,GPL-3.0-or-later,aklu,اكلو
Lower system brightness,ⴼⵏⵥ ⴰⵙⵉⴷⴷ ⵏ ⵓⵏⴳⵔⴰⵡ,GPL-3.0-or-later,fnẓ asidd n ungraw,فنزّ اسيدد ن ونڭراو
Run as scheduled,ⵙⴽⵔ ⴰⵎ ⵉⵜⵜⴰⵡⵙⵖⵉⵡⵙ,GPL-3.0-or-later,skr am ittawsghiws,سكر ام يتتاوسغيوس
Sunset (%on) to sunrise (%off),ⵙⴳ ⵓⵖⵍⵍⵓⵢ (%on) ⴰⵔ ⴰⵏⵇⵇⵔ (%off),GPL-3.0-or-later,sg ughlluy (%on) ar anqqr (%off),سڭ وغللوي (%on) ار انققر (%off)
Custom (%on to %off),ⵉⵜⵜⴰⵡⵥⵍⴰⵢ (%on to %off),GPL-3.0-or-later,ittawẓlay (%on to %off),يتتاوزّلاي (%on to %off)
,ⵡⴰⵍⵓ,GPL-3.0-or-later,walu,والو
Hardware button backlight,ⴰⵙⴼⴰⵡ ⵏ ⵜⴳⵎⵎⵓⵜⵉⵏ ⵏ ⵡⴰⵍⵍⴰⵍ,GPL-3.0-or-later,asfaw n tgmmutin n wallal,اسفاو ن تڭمموتين ن واللال
Start time,ⵜⵓⴷⴷⵎⴰ,GPL-3.0-or-later,tuddma,توددما
Sunset,ⴰⵖⵍⵍⵓⵢ,GPL-3.0-or-later,aghlluy,اغللوي
Sunset (%s),ⴰⵖⵍⵍⵓⵢ (%s),GPL-3.0-or-later,aghlluy (%s),اغللوي (%s)
Stop time,ⵜⵉⴳⵉⵔⴰ,GPL-3.0-or-later,tigira,تيڭيرا
Sunrise,ⴰⵏⵇⵇⵔ,GPL-3.0-or-later,anqqr,انققر
Sunrise (%s),ⴰⵏⵇⵇⵔ (%s),GPL-3.0-or-later,anqqr (%s),انققر (%s)
Sunset to sunrise,ⵙⴳ ⵓⵖⵍⵍⵓⵢ ⴰⵔ ⴰⵏⵇⵇⵔ,GPL-3.0-or-later,sg ughlluy ar anqqr,سڭ وغللوي ار انققر
Based on your location,ⵅⴼ ⵡⴰⵏⵙⴰ ⵏⵏⴽ,GPL-3.0-or-later,khf wansa nnk,خف وانسا ننك
Location,ⴰⵏⵙⴰ,GPL-3.0-or-later,ansa,انسا
Dark theme,ⵜⴰⴼⵔⵙⵜ ⵜⴰⵎⴰⵍⵍⴰⵙⵜ,GPL-3.0-or-later,tafrst tamallast,تافرست تاماللاست
Root mode,ⴰⵙⵓⵔⵙ ⵏ ⵓⴳⵔⵎⵣⴷⴰⵢ,GPL-3.0-or-later,asurs n ugrmzday,اسورس ن وڭرمزداي
"Higher quality filter, especially with dark backgrounds. Requires device rooted with Magisk.","ⵜⴰⵙⵜⴰⵢⵜ ⵍⴰⵍ ⵏ ⵜⵕⵡⵉ ⵉⵖⵓⴷⴰⵏ, ⵙⵍⴰⵡⴰⵏ ⴰⴽⴽⵯ ⴷ ⵡⴰⵡⵔⵏ ⵉⴱⵔⴽⴰⵏⵏ. ⵉⵔⴰ ⵡⴰⵍⵍⴰⵍ ⴰⴷ ⵉⵎⵣⴷⴰⵢ ⴷ Magisk.",GPL-3.0-or-later,"tastayt lal n tṛwi ighudan, slawan akkⵯ d wawrn ibrkann. ira wallal ad imzday d Magisk.","تاستايت لال ن تروي يغودان, سلاوان اككⵯ د واورن يبركانن. يرا واللال اد يمزداي د Magisk."
