Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⵣⴳⵏ ⵏ ⵓⵙⴳⴳⴰⵙ,semestre,أسدس,azgn n usggas,ازڭن ن وسڭڭاس,"The Arabic word ""أسدس"" can be translated as ""sixth"" in English, depending on the context. If you have a specific context in mind, feel free to provide more details for a more accurate translation!"
ⴳⴰⵔⵙⴳⴳⵯⴰⵙ,disette,سنة جدباء,garsggⵯas,ڭارسڭڭⵯاس,A barren year.
ⴰⵙⴳⵎⴹ ⵙ ⵓⵣⴷⴷⵓⵢ,contreseing,التوقيع بالعطف,asgmḍ s uzdduy,اسڭمض س وزددوي,The signature with compassion.
ⴰⵙⴳⵏⴰⴼ ⵏ ⵉⵎⵓⴷⴰⵔ,clinique vétérinaire,مصحة بيطرية,asgnaf n imudar,اسڭناف ن يمودار,Veterinary clinic
ⴰⵙⴳⵏⴰⴼ ⵏ ⵡⴰⵙⵙ,hôpital de jour,مستشفى,asgnaf n wass,اسڭناف ن واسس,Hospital
ⴰⵙⴳⵏⵓ ⵉⴽⵜⴰⵔⵏ,nuage aqueux,سحابة مائية,asgnu iktarn,اسڭنو يكتارن,Water cloud
ⴰⵙⴳⵏⵓ ⵓⴳⵔⵉⵙ,nuage glacé,سحابة جليدية,asgnu ugris,اسڭنو وڭريس,Ice cloud
ⴰⵙⴳⵏⵓ ⵢⵓⴷⵔⵏ,nuage bas,سحابة منخفضة,asgnu yudrn,اسڭنو يودرن,Low cloud
ⴰⵏⵎⵎⴰⵍ ⵏ ⵓⵙⴳⵓⵎ,indicateur de thème,مبتدأ,anmmal n usgum,انممال ن وسڭوم,Subject (in grammatical terms).
ⴰⵙⴳⵓⵎ ⵏ ⵡⴰⵙⵉⴼ,axe du fleuve,محور النهر,asgum n wasif,اسڭوم ن واسيف,The axis of the river.
ⴰⵙⴳⵔ ⵏ ⵓⴼⵉⴷⵢⵓ,vidéo projecteur,مسلاط بالفيديو,asgr n ufidyu,اسڭر ن وفيديو,Video projector
ⴰⵙⴳⵔⴰⵡ ⵏ ⵜⵙⴷⵏⴰⵏ,club des femmes,النادي النسوي,asgraw n tsdnan,اسڭراو ن تسدنان,The women's club
ⴰⵙⴷⴰⵡ ⴰⴷⵙⵍⴰⵏ,dossier principal,ملف رئيسي,asdaw adslan,اسداو ادسلان,Main file
ⴰⵙⴷⴰⵡ ⴰⵏⵖⵎⴰⵙ,dossier de presse,ملف صحفي,asdaw anghmas,اسداو انغماس,Press file
ⴰⵙⴷⴰⵡ ⵏ ⵜⵙⵓⴳⴰⵔ,portfolio,ملف الكفايات,asdaw n tsugar,اسداو ن تسوڭار,Competency file
ⴰⵙⴷⴷⵉ ⴰⵎⵙⴰⴷⵓⵔ,chaîne alimentaire,سلسلة غذائية,asddi amsadur,اسددي امسادور,Food chain
ⴰⵙⴷⴷⵉ ⴰⵙⴳⴳⴰⵏ,"liste noire, liste des suspects",قائمة سوداء، قائمة المشبوهين,asddi asggan,اسددي اسڭڭان,"Blacklist, list of suspects."
ⴰⵙⴷⴷⵉ ⴰⵏⵙⵍⵉⵎ,bande côtière,شريط ساحلي,asddi anslim,اسددي انسليم,Coastal strip
ⴰⵙⴷⴷⵉ ⵉⴳⵉⴷⵉ,bande dunaire,شريط كثبي,asddi igidi,اسددي يڭيدي,A sandy strip
ⴰⵙⴷⴷⵓ ⵏ ⵉⴷⴰⵎⵎⵏ,vaisseau sanguin,وعاء دموي,asddu n idammn,اسددو ن يداممن,Blood vessel
ⵜⴰⵏⴰⴼⵓⵜ ⵏ ⵓⵙⴷⵓⵢ,unité de réanimation,وحدة إنعاش,tanafut n usduy,تانافوت ن وسدوي,Intensive care unit
ⴰⵙⴼⵔⵓ ⵢⵓⵙⴰⵏ,solution appropriée,حل مناسب,asfru yusan,اسفرو يوسان,A suitable solution.
ⴰⵙⴽⴰⵏ ⵏ ⵜⵡⵓⵔⵉ,offres d’emploi,عرض عمل,askan n twuri,اسكان ن تووري,Job offer
ⵜⵓⵜⵔⴰ ⵏ ⵉⵙⴽⴰⵏⵏ,appel d'offres,طلب عروض,tutra n iskann,توترا ن يسكانن,Request for proposals
ⴰⵙⴽⴰⵔ ⵙ,prise en compte,مراعاة,askar s,اسكار س,Consideration
ⴱⵓ ⴽⴽⵓⵥ ⵉⵙⴽⴽⵉⵍⵏ,Quadrilitère,رباعي الجذر,bu kkuẓ iskkiln,بو ككوزّ يسككيلن,The square root.
ⴱⵓ ⴽⵕⴰⴹ ⵉⵙⴽⴽⵉⵍⵏ,trilitère,ثلاثي الجذر,bu kṛaḍ iskkiln,بو كراض يسككيلن,Trilateral root
ⴱⵓ ⵙⵉⵏ ⵉⵙⴽⴽⵉⵍⵏ,Bilitère,ثنائي الجذر,bu sin iskkiln,بو سين يسككيلن,Square root.
ⴱⵓ ⵢⴰⵏ ⵓⵙⴽⴽⵉⵍ,Monolitère,أحادي الجذر,bu yan uskkil,بو يان وسككيل,Monoradical
ⵉⵙⴽⴽⵉⵍⵏ ⵏ ⵓⴳⵎⵎⴰⵢ,alphabet,ألفبائية,iskkiln n ugmmay,يسككيلن ن وڭمماي,Alphabetical
ⴰⵙⵖⵍ ⵏ ⵓⵙⵃⵙⵙⵉ,"audimat, taux d'écoute",نسبة الاستماع,asghl n usḥssi,اسغل ن وسحسسي,Listening rate
ⴰⵣⵎⵣ ⵏ ⵓⵙⵃⵙⵙⵉ,durée d'audience,مدة الاستماع,azmz n usḥssi,ازمز ن وسحسسي,Listening duration
ⴰⵙⵇⵇⵉⵎ ⵏ ⵉⵎⵓⵔⴰ,chambre des députés,مجلس النواب,asqqim n imura,اسققيم ن يمورا,The House of Representatives
ⴰⵙⵇⵇⵉⵎ ⵏ ⵉⵎⵛⵛⵉⵡⴰⵕ,"sénat, chambre des conseillers",مجلس المستشارين,asqqim n imshshiwaṛ,اسققيم ن يمششيوار,The Council of Advisors
ⴰⵙⵇⵇⵉⵎ ⵏ ⵜⵎⵙⵙⵓⴳⵓⵔⵜ,conseil d'administration,مجلس الإدارة,asqqim n tmssugurt,اسققيم ن تمسسوڭورت,The Board of Directors
ⴰⵙⵉⴳⴳⵍ ⴰⵎⴰⵙⵙⴰⵏ,recherche scientifique,بحث علمي,asiggl amassan,اسيڭڭل اماسسان,Scientific research
ⴰⵙⵉⴷⴷ ⵏ ⵓⵙⵉⴽⵍ,feux de signalisation,أضواء المرور,asidd n usikl,اسيدد ن وسيكل,Traffic lights
ⴰⵙⵉⴼ ⵉⵕⵥⴰⵏ,fleuve tournant,نهر منعرج,asif iṛẓan,اسيف يرزّان,A meandering river
ⴰⵙⵉⴼ ⵓⴳⵔⵉⵙ,fleuve glaciaire,نتهر جليدي,asif ugris,اسيف وڭريس,Glacier.
ⴰⵙⵉⴼⵙⵓⵙ ⵏ ⵓⵔⴳⴰⵢ,dégrèvement d'impôt,تنزيل الضريبة,asifsus n urgay,اسيفسوس ن ورڭاي,Tax reduction
ⴰⵙⵉⴼⵙⵓⵙ ⵏ ⵜⵎⵔⵔⵓⵜ,commutation de peine,تخفيف العقوبة,asifsus n tmrrut,اسيفسوس ن تمرروت,Reducing the penalty.
ⵙⵎⵙⴰⵙⴰ ⴰⵙⵉⴽⵍ,réguler la circulation,نظم السير,smsasa asikl,سمساسا اسيكل,"""Organize the traffic"" or ""Regulate the traffic."""
ⴰⵙⵉⵍⵉ ⴰⵏⴰⵎⵓⵔ,promotion nationale,الإنعاش الوطني,asili anamur,اسيلي انامور,The National Revival
ⴰⵙⵉⵏⴰⵏ ⵏ ⵓⵙⵎⴷⵉ,lycée,ثانوية تأهيلية,asinan n usmdi,اسينان ن وسمدي,Qualifying High School
ⴰⵙⵉⵏⴰⵏ ⵏ ⵓⵙⵎⵓⵜⵜⴳ,collège,ثانوية إعدادية,asinan n usmuttg,اسينان ن وسموتتڭ,Preparatory high school
ⴰⵙⵉⵔⵏ ⵙ ⵍⴰⵏⴽⵓⵍ,intoxication alcoolique,تسمم كحولي,asirn s lankul,اسيرن س لانكول,Alcohol poisoning
ⴰⵙⵉⵔⵏ ⵙ ⵡⵓⵜⵛⵉ,intoxication alimentaire,تسمم غذائي,asirn s wutshi,اسيرن س ووتشي,Food poisoning
ⵉⴷⵉⵙ  ⵏ ⵓⵙⵉⵔⵡ,endomètre,بطانة الرحم,idis  n usirw,يديس  ن وسيرو,Endometrium
ⵉⵎⵉ ⵏ ⵓⵙⵉⵔⵡ,col de l'utérus,عنق الرحم,imi n usirw,يمي ن وسيرو,Cervix
ⵙⵙⵍⴽ ⵏ ⵓⵙⵉⵔⵡ,dispositif intra-utérin,لولب رحمي,sslk n usirw,سسلك ن وسيرو,Intrauterine device (IUD)
ⴰⵙⵉⵣⴷⴳ ⴰⵥⵓⵕⴰⵏ,épuration ethnique,تطهير عرقي,asizdg aẓuṛan,اسيزدڭ ازّوران,Translation Error
ⵜⵓⵜⵔⴰ ⵏ ⵓⵙⵍⴳⵎ,motion de censure,ملتمس الرقابة,tutra n uslgm,توترا ن وسلڭم,Motion of censure
ⴰⵙⵍⴳⵎ ⴰⵏⵉⵎⴰⵏ,autocensure,رقابة ذاتية,aslgm animan,اسلڭم انيمان,Self-censorship
ⴰⵙⵍⴳⵏ ⴰⴳⴷⵓⴷⴰⵏ,droit public,قانون عام,aslgn agdudan,اسلڭن اڭدودان,General law
ⴰⵙⵍⴳⵏ ⴰⴳⵔⴰⵖⵍⴰⵏ ⵓⵙⵍⵉⴳ,droit international privé,قانون دولي خاص,aslgn agraghlan uslig,اسلڭن اڭراغلان وسليڭ,Private international law
ⴰⵙⵍⴳⵏ ⴰⴳⵯⵏⵙⴰⵏ,règlement intérieur,قانون داخلي,aslgn agⵯnsan,اسلڭن اڭⵯنسان,Internal law
ⴰⵙⵍⴳⵏ ⴰⴷⵙⵜⴰⵔ,droit constitutionnel,قانون دستوري,aslgn adstar,اسلڭن ادستار,Constitutional law
ⴰⵙⵍⴳⵏ ⴰⴼⵔⴽⴰⵏ,droit foncier,قانون عقاري,aslgn afrkan,اسلڭن افركان,Real estate law
ⴰⵙⵍⴳⵏ ⴰⵎⴰⴷⴷⴰⵙ,loi organique,قانون تنظيمي,aslgn amaddas,اسلڭن امادداس,Organizational law
ⴰⵙⵍⴳⵏ ⴰⵎⵔⴳⴰⵢ,droit fiscal,قانون جبائي، قانون ضريبي,aslgn amrgay,اسلڭن امرڭاي,"Fiscal law, tax law."
ⴰⵙⵍⴳⵏ ⴰⵎⵙⵙⵓⴳⵓⵔ,droit administratif,قانون إداري,aslgn amssugur,اسلڭن امسسوڭور,Administrative law
ⴰⵙⵍⴳⵏ ⴰⵏⴰⵎⵓⵏ,droit social,قانون اجتماعي,aslgn anamun,اسلڭن انامون,Social law
ⴰⵙⵍⴳⵏ ⴰⵏⴱⴽⴰⴹ,droit pénal,قانون جنائي,aslgn anbkaḍ,اسلڭن انبكاض,Criminal law
ⴰⵙⵍⴳⵏ ⴰⵏⵙⴱⴰⴱ,"droit commercial, code de commerce",قانون تجاري,aslgn ansbab,اسلڭن انسباب,Commercial law
ⴰⵙⵍⴳⵏ ⵏ ⵓⴱⵔⵉⴷ,code de la route,قانون السير,aslgn n ubrid,اسلڭن ن وبريد,Traffic law
ⴰⵙⵍⴽⵉⵏ ⵏ ⵉⵎⵉⵔ ⴰⵙⵎⴰⵜⵜⴰⴳ,certificat du cycle collégial,شهادة السلك الإعدادي,aslkin n imir asmattag,اسلكين ن يمير اسماتتاڭ,Preparatory Cycle Certificate
ⴰⵙⵍⴽⵉⵏ ⵏ ⵓⵙⵍⵎⴷ ⴰⵎⵏⵣⵓ,certificat d'enseignement primaire,شهادة ابتدائية,aslkin n uslmd amnzu,اسلكين ن وسلمد امنزو,Primary certificate
ⴰⵙⵍⴽⵉⵏ ⵏ ⵜⵍⴰⵍⵉⵜ,"extrait d'acte de naissance, certificat de naissance",شهادة الولادة,aslkin n tlalit,اسلكين ن تلاليت,Birth certificate
ⴰⵙⵍⴽⵉⵏ ⵏ ⵜⵎⵜⵜⴰⵏⵜ,"extrait d'acte de décès, certificat de décès",شهادة الوفاة,aslkin n tmttant,اسلكين ن تمتتانت,Death certificate
ⴰⵙⵍⴽⵉⵏ ⵏ ⵡⴰⴷⴷⴰⴷ ⵓⵖⵔⵉⵎ,acte d'état civil,شهادة الحالة المدنية,aslkin n waddad ughrim,اسلكين ن وادداد وغريم,Certificate of civil status
ⴰⵍⵍⴰⵍⵏ ⵏ ⵓⵙⵍⵉⵥⵉⵕ,équipements audiovisuels,أجهزة سمعية بصرية,allaln n usliẓiṛ,اللالن ن وسليزّير,Audiovisual devices
ⵎⵛⵛ ⵉⵙⵍⵎⴰⵏ,piscivore,مقتات بالأسماك,mshsh islman,مشش يسلمان,Fish-eating.
ⴰⵙⵍⵎⴷ ⴰⵇⴱⵓⵔ,enseignement traditionnel,التعليم العتيق,aslmd aqbur,اسلمد اقبور,Traditional education
ⵙ ⵓⵙⵎⴰⴷ,complémentarité,تكاملية,s usmad,س وسماد,Complementarity
ⴰⵙⵎⴰⵢⵏⵓ ⴰⵎⵖⵔⵔⴷ,reconduction tacite,تجديد ضمني,asmaynu amghrrd,اسماينو امغررد,Implicit renewal
ⴰⵙⵎⴽⵍ ⵎⴰⵔ ⵜⴰⵡⵍⴰ,traitement antipyrétique,علاج مخفض الحرارة,asmkl mar tawla,اسمكل مار تاولا,Fever-reducing treatment
ⴰⵙⵎⵉⴳⵍ ⵉ ⵓⴼⵔⵓ,sommation,إنذار بالدفع,asmigl i ufru,اسميڭل ي وفرو,Payment notice
ⴰⵙⵎⵉⵙⵉ ⵖⵔ ⵓⴼⴰⵙⵉ,justification à droite,تسوية إلى اليمين,asmisi ghr ufasi,اسميسي غر وفاسي,"""Align to the right"""
ⴰⵙⵎⵉⵙⵉ ⵖⵔ ⵓⵥⵍⵎⴰⴹ,justification à gauche,تسوية إلى اليسار,asmisi ghr uẓlmaḍ,اسميسي غر وزّلماض,Align to the left
ⴰⵙⵎⵎⵍ ⴰⵏⴼⵔⵓ,district  de police,المنطقة الأمنية,asmml anfru,اسممل انفرو,The security zone.
ⴰⵙⵎⵎⵍ ⴰⵙⴳⴰⵡⴰⵏ,district provincial,المنطقة الإقليمية,asmml asgawan,اسممل اسڭاوان,The regional area.
ⴰⵙⵎⵎⵓⴷ ⵏ ⵓⵙⴽⴽⵉⵏ,complément d’objet,مفعول به,asmmud n uskkin,اسممود ن وسككين,Direct object
ⴱⵓ ⵓⵙⵎⵎⵓⴷ,transitif,متعد,bu usmmud,بو وسممود,"""Transgressor"" or ""excessive,"" depending on the context. Could you provide more context for accurate translation?"
ⵡⴰⵔ ⴰⵙⵎⵎⵓⴷ,intransitif,لازم,war asmmud,وار اسممود,"It means ""necessary"" or ""must,"" depending on the context."
ⴰⵙⵎⵓⵜⵜⴳ ⴰⵎⵢⵉⵡⴰⵏ,formation modulaire,تكوين مجزوءاتي,asmuttg amyiwan,اسموتتڭ امييوان,Modular composition
ⴰⵙⵎⵓⵜⵜⴳ ⵙ ⵜⵡⴰⵍⴰ,formation par alternance,تكوين تناوبي,asmuttg s twala,اسموتتڭ س توالا,Alternating formation
ⴰⵙⵎⵙⴰⵙⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ,aménagement linguistique,تهيئة لغوية,asmsasa n tutlayt,اسمساسا ن توتلايت,Linguistic preparation
ⴰⵙⵏⴰⴳⴰⵔ ⵡⴰⵔ ⵉⴼⵉⵍⵉ,télé fréquence,تردد لا سلكي,asnagar war ifili,اسناڭار وار يفيلي,Wireless frequency
ⴰⵙⵏⴼⴰⵍ ⴰⵎⵓⵟⵟⵓⵏ,numériseur,محول رقمي,asnfal amuṭṭun,اسنفال اموططون,Digital converter
ⴰⵙⵉⵔⴰ ⵏ ⵓⵙⵏⴼⵍ,office des changes,مكتب الصرف,asira n usnfl,اسيرا ن وسنفل,Exchange office
ⴰⵎⵙⵖⴰⵍ ⵏ ⵓⵙⵏⵇⴹ,barème de notation,سلم التنقيط,amsghal n usnqḍ,امسغال ن وسنقض,The grading scale
ⴰⵙⵏⵓⵃⵢⵓ ⴰⵥⵓⵕⴰⵏ,racisme,ميْز عنصري,asnuḥyu aẓuṛan,اسنوحيو ازّوران,Racial discrimination
ⴰⵙⵏⵖⵎⵙ ⴰⵙⵔⵜⴰⵏ,information politique,إعلام سياسي,asnghms asrtan,اسنغمس اسرتان,Political media
ⵜⵉⴼⵔⵖⵉ ⵏ ⵓⵙⵏⵙⵓⵍ,scoliose,جنَف (انحراف العمود الفقري جانبيا),tifrghi n usnsul,تيفرغي ن وسنسول,Scoliosis (lateral curvature of the spine)
ⴰⵙⵓⵍⴼ ⴰⵙⵎⵙⵙⵉ,gros plan,لقطة مكبرة,asulf asmssi,اسولف اسمسسي,A close-up shot
ⴰⵙⵓⵍⴼ ⵖⵔ ⵉⵣⴷⴰⵔ,plongée (prise de vue),زاوية نازلة,asulf ghr izdar,اسولف غر يزدار,Descending angle
ⴰⵙⵓⵍⴼ ⵖⵔ ⵓⴼⵍⵍⴰ,contre-plongée,تصوير صعودي,asulf ghr uflla,اسولف غر وفللا,Ascending shot
ⴰⵙⵓⵍⴼ ⵙ ⵓⵏⴳⵏⴳ ⴰⵎⵖⵏⴰⵟⵉⵚ,imagerie par résonance magnétique (IRM),تصوير بالرنين المغناطيسي,asulf s ungng amghnaṭiṣ,اسولف س ونڭنڭ امغناطيص,Magnetic resonance imaging (MRI)
ⴰⵙⵓⵎⵍ ⴰⵙⵖⵏⵣⵉ,réputation commerciale,سمعة تجارية,asuml asghnzi,اسومل اسغنزي,Brand reputation
ⴰⵙⵓⵏⴼⵙ ⵉⵎⵍⵥⵉ,respiration artificielle,تنفس اصطناعي,asunfs imlẓi,اسونفس يملزّي,Artificial respiration
ⴰⵙⵓⵔⴼ ⴰⴳⵍⴷⴰⵏ,grâce royale,عفو ملكي,asurf agldan,اسورف اڭلدان,Royal pardon
ⴰⵙⵓⵔⵙ ⴰⴷⵉⴷⴰⴽⵜⵉ,situation didactique,وضعية ديداكتيكية,asurs adidakti,اسورس اديداكتي,Didactic situation
ⴰⵙⵓⵔⵙ ⴰⵎⵓⴽⵔⵉⵙ,situation problème,وضعية مشكلة,asurs amukris,اسورس اموكريس,Problem situation
ⴰⵙⵓⵔⵙ ⴰⵏⴳⴳⵓ,situation équivalente,وضعية مماثلة,asurs anggu,اسورس انڭڭو,A similar situation
ⴰⵙⵓⵔⵙ ⴰⵡⵜⵜⴰⵙ,situation cible,وضعية هدف,asurs awttas,اسورس اوتتاس,Goal situation
ⴰⵙⵓⵔⵙ ⵏ ⵓⵙⵉⴷⴼ,situation d’intégration,وضعية إدماجيه,asurs n usidf,اسورس ن وسيدف,Integrative situation
ⴰⵙⵓⵙⵙⵏ ⴰⵏⵉⵎⴰⵏ,auto-promotion,إشهار ذاتي,asussn animan,اسوسسن انيمان,Self-promotion
ⵙ ⵓⵙⵔⴰⴷ,en direct,مباشَرة,s usrad,س وسراد,Directly
ⵡⴰⵔ ⴰⵙⵔⴰⴷ,en différé,غير مباشر,war asrad,وار اسراد,Indirect
ⴰⵙⵔⵉⴷⴷⵎ ⴰⵍⵍⵅⴼⴰⵏ,hémorragie cérébrale,نزيف الدماغ,asriddm allkhfan,اسريددم اللخفان,Brain hemorrhage
ⴰⵙⵔⵉⴷⴷⵎ ⴰⵥⵓⵕⴰⵏ,hémorragie artérielle,نزيف شرياني,asriddm aẓuṛan,اسريددم ازّوران,Arterial bleeding
ⴰⵙⵔⵉⴷⴷⵎ ⵏ ⵡⴰⵎⵉⴳ,hémorragie veineuse,نزيف وريدي,asriddm n wamig,اسريددم ن واميڭ,Venous bleeding
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵓⵙⵔⵓⴳⴳⵜ,évaporomètre,مقياس التبخر,tamsghalt n usruggt,تامسغالت ن وسروڭڭت,Evaporation rate
ⴰⵙⵔⵓⵙ ⵏ ⵉⵜⵍⴰⵏ,apposition des scellés,وضع الأختام,asrus n itlan,اسروس ن يتلان,Placing the seals
ⴰⵙⵔⵓⵙ ⵓⵍⴳⵉⵏ,dépôt légal,إيداع قانوني,asrus ulgin,اسروس ولڭين,Legal deposit
ⴰⵙⵔⵙ ⵏ ⵜⵉⴹⴰⴼ ⵏ ⵓⵏⵣⵡⵉ,station météorologique,محطة جوية,asrs n tiḍaf n unzwi,اسرس ن تيضاف ن ونزوي,Air station
ⴰⵙⵖⴰⵍ ⴰⴼⵔⴽⴰⵏ,cadastre,المسح العقاري,asghal afrkan,اسغال افركان,Land surveying or real estate surveying
ⴰⵙⵖⴰⵍ ⵏ ⵜⴰⵜⵜⵓⵢⵜ,altimétrie,قياس الارتفاعات,asghal n tattuyt,اسغال ن تاتتويت,Measurement of elevations.
ⴰⵙⵖⵉⵡⵙ ⴰⴱⵉⴷⴰⴳⵓⵊⵉ,planification pédagogique,تخطيط بيداغوجي,asghiws abidaguji,اسغيوس ابيداڭوجي,Pedagogical planning
ⵜⵉⴼⴰⴷⵉⵡⵉⵏ ⵏ ⵓⵙⵖⵉⵡⵙ,conditions de programmation,شروط البرمجة,tifadiwin n usghiws,تيفاديوين ن وسغيوس,Programming requirements or conditions.
ⵡⴰⵔ ⴰⵡⵜⵜⴰⵙ ⴰⵙⵖⵏⵣⵉ,Non commercial,غير تجاري,war awttas asghnzi,وار اوتتاس اسغنزي,Non-commercial
ⴰⵙⵖⵓⵏ ⵓⴱⵖⵉⵔ,lien utile,رابط مفيد,asghun ubghir,اسغون وبغير,A useful link
ⵉⵙⵖⵔⴰⵙ ⵉⵎⴳⵔⵓⵜⵏ,Abattoirs communaux,مجازر جماعية,isghras imgrutn,يسغراس يمڭروتن,Translation Error
ⴰⵙⵖⵜⵙ ⴰⵏⵉⵎⴰⵏ,autodétermination,تقرير المصير,asghts animan,اسغتس انيمان,Self-determination
ⴰⵙⵖⵣⵏ ⵏ ⵓⵙⴳⵎⴹ,légalisation de signature,تصديق الإمضاء,asghzn n usgmḍ,اسغزن ن وسڭمض,Signature authentication
ⴰⵎⵎⴰⵙ ⵏ ⵡⴰⵙⵙ,"mi-journée, midi",منتصف النهار,ammas n wass,امماس ن واسس,Midday.
ⴰⵙⵙ ⴰ/ⴰⴷ,"aujourd'hui, de nos jours",هذا اليوم، حاليا,ass a/ad,اسس ا/اد,"This day, currently."
ⴰⵙⵙ ⴰⵏⵏ,ce jour-là,ذلك اليوم,ass ann,اسس انن,That day
ⴹⴰⵕⵜ ⵏ ⵡⴰⵙⵙ,après-midi,بعد الزوال,ḍaṛt n wass,ضارت ن واسس,After the afternoon.
ⴼⴰⵔ ⵡⴰⵙⵙ ⵢⴰⴹⵏ,surlendemain,بعد غد,far wass yaḍn,فار واسس ياضن,The day after tomorrow
ⴰⵙⵙⴰⵢ ⴰⴱⵔⴷⴰⵏ,transport routier,نقل طرقي,assay abrdan,اسساي ابردان,"""Road transport"" or ""Transportation by road"""
ⴰⵙⵙⴰⵢ ⴰⵎⴰⴹⵓ,transport aérien,نقل جوي,assay amaḍu,اسساي اماضو,Air transport
ⴰⵙⵙⴰⵢ ⴰⵏⵎⵍⴰⵏ,transport scolaire,نقل مدرسي,assay anmlan,اسساي انملان,School transportation
ⴰⵙⵙⴰⵢ ⴰⵢⵍⴰⵏ,transport maritime,نقل بحري,assay aylan,اسساي ايلان,Maritime transport
ⴰⵙⵙⴰⵢ ⵏ ⵡⵓⵣⵣⴰⵍ,transport ferroviaire,نقل سككي,assay n wuzzal,اسساي ن ووززال,Rail transport
ⵉⵎⴰⵙⵙⵏ ⵏ ⵡⴰⵙⵙⴰⵢ,moyens de transport,وسائل النقل,imassn n wassay,يماسسن ن واسساي,Means of transportation
ⵉⵎⴷⵡⴰⵏ ⵏ ⵓⵙⵙⴼⵍⴷ,bassins d’audience,أحواض الاستماع,imdwan n ussfld,يمدوان ن وسسفلد,Listening basins
ⴰⵎⴷⴰ ⵏ ⵓⵙⵙⴼⵍⴷ,Bassin d'audience,حوض الاستماع,amda n ussfld,امدا ن وسسفلد,Listening basin
ⴰⵙⵖⵍ ⵏ ⵓⵙⵙⴼⵍⴷ,"audimat, taux d'écoute",نسبة الاستماع,asghl n ussfld,اسغل ن وسسفلد,Listening rate
ⴰⴳⴳⵉⵡⵙ ⵏ ⵓⵙⵜⴰⵍ,contrôle de poids,مراقبة الوزن,aggiws n ustal,اڭڭيوس ن وستال,Weight monitoring
ⴰⵙⵜⴰⵍ ⴰⵎⵙⵉⴷⴷ,évaluation diagnostique,تقويم تشخيصي,astal amsidd,استال امسيدد,Diagnostic assessment
ⴰⵙⵜⴰⵍ ⴰⵎⵙⵎⵓⵏ,évaluation sommative,تقويم إجمالي,astal amsmun,استال امسمون,Overall evaluation
ⴰⵙⵜⴰⵍ ⴰⵏⵉⵎⴰⵏ,auto-évaluation,تقييم ذاتي,astal animan,استال انيمان,Self-assessment
ⴰⵙⵜⴰⵍ ⵙ ⵓⵙⵎⵓⵜⵜⴳ,evaluation formative,تقويم تكويني,astal s usmuttg,استال س وسموتتڭ,Formative assessment
ⴰⵣⵉⵥⴹⵕ ⵉ ⵓⵙⵜⴰⵢ,éligibilité,أهلية الترشح,aziẓḍṛ i ustay,ازيزّضر ي وستاي,Eligibility for candidacy
ⴰⵣⵎⵣ ⵏ ⵓⵙⵜⴰⵢ,période électorale,فترة انتخابية,azmz n ustay,ازمز ن وستاي,Electoral period
ⴰⵙⵡⵓⴷⴷⵓ ⴰⵏⵉⵎⴰⵏ,autogestion,تسيير ذاتي,aswuddu animan,اسووددو انيمان,Self-management or Autonomous operation
ⴰⵎⵣⴰⵣ ⵏ ⵓⵚⵎⵎⵉⴹ,vague de froid,موجة برد,amzaz n uṣmmiḍ,امزاز ن وصمميض,Cold wave
ⴰⵚⵎⵎⵉⴹ ⵏ ⵉⴷⵎⴰⵔⵏ,bronchite,نزلة شُعبية,aṣmmiḍ n idmarn,اصمميض ن يدمارن,Bronchitis
ⴰⵚⵕⴰⴹ ⴰⴳⴷⵓⴷⴰⵏ,action publique,دعوى عمومية,aṣṛaḍ agdudan,اصراض اڭدودان,Public lawsuit
ⴰⵚⵕⴰⴹ ⴰⵏⵉⵎⴰⵏ,auto saisine,إحالة ذاتية,aṣṛaḍ animan,اصراض انيمان,Self-referral
ⴰⵡⴽⴽⴰ ⵏ ⵉⵚⵕⵎⴰⵏ,ascaris (ou ascaride) lumbricoïdes,صفار (أسكارس، ثعبان البطن),awkka n iṣṛman,اوككا ن يصرمان,"Eggs (Ascaris, intestinal worm)"
ⵉⵚⵕⵎⴰⵏ ⵓⵙⴷⵉⴷⵏ,intestins grêles,أمعاء دقيقة,iṣṛman usdidn,يصرمان وسديدن,Small intestine
ⵉⵣⵔⵎⴰⵏ ⵏ ⵉⵚⵕⵎⴰⵏ,parasitose intestinale,ديدان معوية,izrman n iṣṛman,يزرمان ن يصرمان,Intestinal worms
ⵜⵉⵎⵙⴳⵔⵜ ⵏ ⵉⵚⵕⵎⴰⵏ,appendice,الزائدة الدودية,timsgrt n iṣṛman,تيمسڭرت ن يصرمان,The appendix
ⴰⵛⴽ ⴷ,venir (vers ici),جاء,ashk d,اشك د,He came.
ⴰⵛⴽ ⵏⵏ,venir (vers là),جاء (إلى هناك),ashk nn,اشك نن,He came (there).
ⴰⵛⵏⴱⵓⵔ ⵏ ⵡⴰⵔⴰⵢ,"visière de protection, écran facial",واقي الوجه,ashnbur n waray,اشنبور ن واراي,Face shield
ⴱⵓ ⵉⵛⵜⵜⵉⵃⵏ,menteur,كذاب,bu ishttiḥn,بو يشتتيحن,Liar
ⴰⵜⵉⴳ ⴰⵎⴰⵡⴰⵏ,valeur mobilière,قيمة منقولة,atig amawan,اتيڭ اماوان,Movable value
